time,distance,spot,cycle,rgt,dh_fit_dy,pflags,h_sigma,w_surface_window_final,gt,n_fit_photons,h_mean,dh_fit_dx,rms_misfit,segment_id,geometry
2022-03-04 02:48:03.787986688,12252999.355790451,6,14,1097,0.0,0,0.01715299753264256,3.0,60,47,28.040231199597827,0.0032703574195502654,0.11759400808501268,611724,POINT (-148.68085628742065 70.09450782642392)
2022-03-04 02:48:03.788332544,12255340.888210611,3,14,1097,0.0,0,0.013708867362762542,3.0,30,158,30.031243333782854,-0.005826024658603407,0.17219290835167697,611841,POINT (-148.6014627913663 70.06998915729199)
2022-03-04 02:48:03.788724224,12252889.277256792,4,14,1097,0.0,0,0.014665797963759485,3.0,40,45,27.437706300551614,0.00048782646003058585,0.09837956522367845,611718,POINT (-148.59582065460842 70.09189484261175)
2022-03-04 02:48:03.789137664,12255460.966848265,5,14,1097,0.0,0,0.00988959236776626,3.0,50,196,31.97204896027758,0.0011918501411604333,0.1380976469470954,611847,POINT (-148.68648154558207 70.07251359884101)
2022-03-04 02:48:03.789402368,12253009.355790451,6,14,1097,0.0,0,0.017053174037082168,3.0,60,50,28.048281073601412,-0.00039260850886632806,0.1203533806407934,611724,POINT (-148.68088845826625 70.09441886980146)
2022-03-04 02:48:03.789746432,12255350.888210611,3,14,1097,0.0,0,0.01443999501063563,3.0,30,156,29.955453052832656,-0.006175393372811737,0.179976983886925,611841,POINT (-148.60149559579642 70.06990022299244)
2022-03-04 02:48:03.790132992,12252899.290345384,4,14,1097,0.0,0,0.017375738090092116,3.0,40,40,27.410005891819864,-0.0022418879307746034,0.10953219438601859,611719,POINT (-148.5958531663968 70.09180577650214)
2022-03-04 02:48:03.790541824,12255470.966848265,5,14,1097,0.0,0,0.010581099329749202,3.0,50,200,31.95433662044868,-0.00233299152522295,0.14960042543297764,611847,POINT (-148.6865143368836 70.07242466921312)
2022-03-04 02:48:03.790821376,12253019.368879888,6,14,1097,0.0,0,0.01940643656379689,3.0,60,55,28.000162876197415,-0.004628670572237815,0.14372448929386336,611725,POINT (-148.68092072796426 70.0943297987391)
2022-03-04 02:48:03.791159552,12255360.901316535,3,14,1097,0.0,0,0.013183342932702178,3.0,30,171,29.87203874386152,-0.008828792728197895,0.17239457098264588,611842,POINT (-148.60152845526147 70.0698111726598)
2022-03-04 02:48:03.791539968,12252909.290345384,4,14,1097,0.0,0,0.019367128498445026,3.0,40,48,27.347551850729662,-0.008972621741665632,0.1335637577209101,611719,POINT (-148.59588585919823 70.0917168363572)
2022-03-04 02:48:03.791949568,12255480.979955034,5,14,1097,0.0,0,0.010972258063867802,3.0,50,210,31.94466561467188,0.0015702003801700115,0.15897971455259075,611848,POINT (-148.68654724388176 70.07233562668787)
2022-03-04 02:48:03.792237312,12253029.368879888,6,14,1097,0.0,0,0.0184600195598958,3.0,60,60,28.002568014286016,0.005863340501715977,0.14233380009796157,611725,POINT (-148.68095299917735 70.09424084642296)
2022-03-04 02:48:03.792569344,12255370.901316535,3,14,1097,0.0,0,0.01185465490533881,3.0,30,170,29.812097073093963,-0.0018320896978074595,0.15370583067491492,611842,POINT (-148.60156128035737 70.06972223926242)
2022-03-04 02:48:03.792949504,12252919.303434115,4,14,1097,0.0,0,0.02038026218229282,3.0,40,51,27.330841293839804,0.0013692100556099152,0.14179444650812864,611720,POINT (-148.59591880465143 70.09162778876419)
2022-03-04 02:48:03.793355008,12255490.979955034,5,14,1097,0.0,0,0.010267089325601757,3.0,50,201,31.965757570776052,0.004102335944377458,0.14554504244889965,611848,POINT (-148.68658016998157 70.07224670295578)
2022-03-04 02:48:03.793654016,12253039.381969465,6,14,1097,0.0,0,0.016020149507970774,3.0,60,57,28.08654437399146,0.007046179361633897,0.12059953657264415,611726,POINT (-148.6809853557432 70.09415177907263)
2022-03-04 02:48:03.793981952,12255380.9144226,3,14,1097,0.0,0,0.010117466259607265,3.0,30,167,29.809209375853023,0.00044029466107373713,0.13041932033179743,611843,POINT (-148.60159415473342 70.06963318958213)
2022-03-04 02:48:03.794358272,12252929.303434115,4,14,1097,0.0,0,0.019629888881338247,3.0,40,51,27.396756579281664,0.004084629795656265,0.13964404081794207,611720,POINT (-148.59595193709683 70.09153886738213)
